address,area,city,hotel_description,hotel_facilities,hotel_star_rating,image_urls,latitude,longitude,property_name,property_type,room_area,room_count,room_facilities,room_type,state,tad_review_count,tad_review_rating,tad_stay_review_rating,room_price,occupancy,additional_info
"Opposite KSRTC Depot G.T. Road, Madikeri",Madikeri,Coorg,"Situated amongst the lovely paddy fields, green estates and small streams, Prestige Residency gives one the feeling of being at home away from home. The basic rooms and essential amenities ensure guests a relaxed and comfortable stay.",Business Services:Business Center|Basics:Internet|Doorman|Express Check-In|Express Check-Out|Housekeeping|Wi-Fi on Charge|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Travel Desk|Personal Services:24 Hour Front Desk|Laundry|Room Service|Hotel Amenities:24-Hour Security|No Category:Front Desk,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7179/717987/images/pr_av_1_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/sdsdsdszds_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/pr_av_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/fgfdg_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/pr_r_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/pr_r1_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/iui_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/iio_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/saszasaa_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/ghgfhg_w.jpg|http://ui.cltpstatic.com/places/hotels/7179/717987/images/sdsazds_w.jpg,12.415003,75.746228,Prestige Residency,Hotel,24 X 10 Sq.ft.,20,Ceiling Fan| Flat Screen Television | Hangers | Private Bathroom | Luggage Rack | Television Room Heater | Wardrobe,Deluxe Room Non AC,Karnataka,27.0,3.0,Location::4.0|Rooms::3.0|Service::3.5|Value::3.0|Cleanliness::3.0|Sleep Quality::3.5,2667per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Restaurant
"No.202/P1,Kedakal Village,Suntikoppa Hobali,Somwarpet Taluku, Kodagu",Suntikoppa,Coorg,"The sun's first rays filter through your huge bay window. Grab a steaming mug of Coorg's finest coffee and homemade cookies, and treat your eyes to a shock of green, shrouded in delicate mist behind your curtains. Spot shapes in the cotton-candy clouds in your open-to-sky Jacuzzi. And awaken to your new home at the Windflower Coorg.44 massive rooms spread over 25 acres of a lush coffee estate in one of the world's 34 remaining biodiversity hotspots. An infinity pool entwined around towering teak and rosewood trees. Rough road jeep rides, hot oil massages, gravity cycling and hydrotherapy. The tranquility, the hospitality and the surprises never end at the Windflower Coorg. Come, take advantage.",Food &amp; Beverage:Bar|Restaurant|Lounge|Business Services:Business Center|Audio Visual Equipment|LCD / Projector|Meeting Facility|Board Room|Conference Hall|Meeting Room|Basics:Internet|Air Conditioning|Facility for Disabled Guest|Adjoining Rooms|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Recreation:Kids Pool|Gym|Indoor Games|Health Club|Jacuzzi|Massage Centre|Outdoor Swimming Pool|Sauna|Steam Bath|Personal Services:24 Hour Front Desk|Laundry|Dry Cleaning|No Category:Conference facilities|Business services|Body Treatments|Disable access to all public areas|Front Desk|Hairdryers|In Room Movies|Phone Service|Wedding Service|Travel:Parking|Bus Parking|Free Parking|Hotel Amenities:24-Hour Security,4 Star hotel,http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_4916150_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Bed_room_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Land_scape_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5077192_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5003170_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_4856128_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_4865134_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5000168_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/LObby_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/LObby_(3)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Spa_loby_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/BACKYARDJACUZZI_-_VILLA_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5125212_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5107206_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/bg-coorg-villa_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Studio_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Studio_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Suite_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Suite_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/suitebath_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5140216_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5119210_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5113208_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/V_Living_room_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Resturant_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Resturant_2_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Resturant_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/BAR_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_4832116_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5015177_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_4832116_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Swimmimg_pool_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Spa_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/spa_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/ACtivity_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Back_yard_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Back_yard_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/coorg_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/DSC_5030178_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Land_scape_(3)_w.jpg|http://ui.cltpstatic.com/places/hotels/3530/353059/images/Lobby_w.jpg,12.45,75.829,The Windflower Resorts & Spa - Coorg,Hotel,20 X 10 Sq.ft.,45,Air Conditioning| Mini Bar| Telephone| Internet / Broadband | Television | Hair Dryer Bedside Lamp Snack Basket Toiletries Intercom | CD / DVD Player | Balcony / Sit Out Area,Suite,Karnataka,587.0,4.5,Location::4.5|Rooms::4.5|Service::4.5|Value::4.0|Cleanliness::4.5|Sleep Quality::4.5,1445per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Free Internet
Karadigodu village & P.O. Siddapur,Siddapur,Coorg,The Robustazone is a budget friendly accommodation for travellers. Simple room provides homely experience. Modern facilities like internet and mini bar inside bring little bit of luxury experience.,Basics:Internet|Doctor on Call|Personal Services:Laundry|Room Service|Travel:Parking,2 Star hotel,http://ui.cltpstatic.com/places/hotels/1331/1331840/images/IMG-20160630-WA0000_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_44_04_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_45_11_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_52_01_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_52_17_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_46_35_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_47_48_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_50_03_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_50_26_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_52_52_Pro_w.jpg|http://ui.cltpstatic.com/places/hotels/1331/1331840/images/WP_20150925_18_49_35_Pro_w.jpg,12.314485000000001,75.88703199999999,The Robustazone,Hotel,16 X 16 Sq.ft.,4,Television| Internet / Broadband| Mini Bar| Wi-Fi Access on Charge | Hot Water | Private Bathroom,Standard Room Non AC,Karnataka,1.0,5.0,Location::5.0|Rooms::0.0|Service::5.0|Value::0.0|Cleanliness::0.0|Sleep Quality::5.0,802per night incl. tax,2 Adults 2 Kids,Room Service|Restaurant
"1.7 kms from SandalKad stop on SandalKad-kadagadal Road,6 kms prior to Mercara Mercara-Mysore Road,Ibbanibelavadi (Boikeri)post,Mercara(Madikeri)",Madikeri,Coorg,"Ibbani Cadu Estate, Coorg, is a home away from home. Nestled in the beautiful Kodagu valley with rich coffee plantations, pepper, cardamom and orange trees, the accommodation offers hill top views. Unwind in the serene environment with family and friends in this comfortable accommodation. The simple yet elegant hotel offers a range of activities to entertain guests.Location:Hotel Ibbani Cadu Estate is located at SandalKad-kadagadal road, Madikeri. Places of attraction Gaddige (Approx. 5km) and Raja's Seat (Approx. 7km) surround the hotel. Gaddige is the collection of tombs of King Virarajendra, Linga Rajendra and one of their court priests. Constructed with a dome in the centre and turrets at each end, the tombs resemble a Muslim pilgrim centre and was built in the 18th century. Other places o visit include Brahmagiri peak, Chelavara Falls and Mandalpatti.Distance from Mangalore International Airport: 195 km (approx.)Distance from Mangalore Central Railway Station: 182 km (approx.)Hotel Features:The hotel offers ample amenities to the patrons during the stay. The range of fundamental amenities offered to the guests are room service, travel desk, concierge, parking, security, internet and doctor-on-call. The hotel offers conferencing and banqueting services such as meeting rooms with LCD/projector, conference room and board rooms. The hotel offers gourmet Coorg delicacies such as Pandicurry and pork dishes and breakfast items such as Nooputtu, Kadumbodu and Akkirotti. Coffee lovers can enjoy the freshly brewed Ibbani Cadu coffee which is a perfect blend of Arabica and Robusta beans and Chicory. Rooms:Well maintained rooms with modern fixtures assures a comfortable stay. The standard rooms of the hotel offer facilities such as colour television, internet access, telephone, in-room menu, in-room safe and complimentary Wi-Fi access. Attached with balcony, these rooms offer a spectacular view of lush greenery.",Basics:Internet|Doorman|Express Check-In|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Travel:Travel Desk|Parking|Bus Parking|Free Parking|Outdoor Parking|Transportation Service|Personal Services:24 Hour Front Desk|24 Hour Room Service|Laundry|Room Service|Butler Service|Food &amp; Beverage:Coffee Shop|No Category:Conference facilities|Conference suite|Free Newspaper|Front Desk|Outlet Adapters|Phone Service|Business Services:LCD / Projector|Meeting Facility|Board Room|Meeting Room|Hotel Amenities:24-Hour Security|Concierge|Basic Room Amenities:Wake-Up Call Service|Recreation:Water Sports,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_(3)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/gfhgf_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/dfdgf_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_(5)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_(1)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_(2)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/dfgf_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/ffsf_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715014/images/timthumb_(4)_w.jpg,12.416362800000002,75.77667209999998,Ibbani Cadu Estate,Resort,10 X 12 Sq.ft.,5,Balcony / Sit Out Area | Television | Newspaper Bedside Lamp Ceiling Fan Flat Screen Television Hangers | In-Room Menu,Standard Room(2-4 Adults),Karnataka,91.0,4.5,Location::4.5|Rooms::4.5|Service::4.5|Value::4.5|Cleanliness::4.5|Sleep Quality::4.5,1265per night incl. tax,2 Adults 2 Kids,Room Service|Swimming Pool|Restaurant|Free Internet
Opposite Auto Service Mysore Road Madikeri - 571201,Madikeri,Coorg,"Sangeeth's Home Stay is a well known and widely established homestay property which is conveniently located at Madikeri in Coorg, Karnataka. Sangeeth's Home Stay, through its appreciable service ensures that the guests have a splendorous and memorable stay. The Mysore airport and the Mysore railway station are about 120 kms and 120 kms away from Sangeeth's Home Stay respectively. The Madikeri bus stop is about 2 kms from the homestay property. The famous Madikeri fort and Abbey falls which are near to Sangeeth's Home Stay, serves as a prominent USP for the homestay property. Sangeeth's Home Stay can easily be reached via any center of transport. Sangeeth's Home Stay provides expertly designed and well-furnished Standard rooms its guests. The guests residing in Sangeeth's Home Stay can also visit the nearby Abbey falls which serves as an adorable place of tourist attraction. The guests visiting Sangeeth's Home Stay experience a unique aura which compels them for an extended stay. The Madikeri market which is at a decent distance from Sangeeth's Home Stay serves as a best source for the residing guests to purchase their desired items. Sangeeth's Home Stay provides ample parking space to its guests so that they can easily accommodate their vehicles. The homestay property provides various facilities such as lobby in the guest house, 24 hours hot and cold running water, 24 hours power backup and much more. The nearby Omkareshwara temple serves as a significant USP for the hotel. Through its warm hospitality and excellent service, Sangeeth's Home Stay gracefully welcomes its guests with open arms. Smoking and drinking is allowed in the homestay property.",Travel:Parking|Free Parking|Outdoor Parking|Basics:Housekeeping,2 Star hotel,http://ui.cltpstatic.com/places/hotels/7175/717584/images/s_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/erert_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/s_2_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/s_1_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/s_r_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/ryrty_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/trytr_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/bathroom_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/s_l_w.jpg|http://ui.cltpstatic.com/places/hotels/7175/717584/images/yuuy_w.jpg,12.427722,75.753312,Sangeetha Home Stay,Hotel,26 X 10 Sq.ft.,4,Private Bathroom | Luggage Rack | Pets Allowed,Standard Room,Karnataka,97.0,4.5,Location::0.0|Rooms::0.0|Service::5.0|Value::4.0|Cleanliness::0.0|Sleep Quality::0.0,400per night incl. tax,2 Adults 2 Kids,Room Service|Restaurant
"Kodava Samaja Complex, Main Road, SH27",Madikeri,Coorg,"Vista Rooms at Madikeri is a luxurious, comfortable yet a pocket friendly place to stay at.The visitors can stay here without compromising on quality and comfort.",Food &amp; Beverage:Restaurant|Travel:Travel Desk|Free Parking|Hotel Amenities:ATM / Cash Machine|Personal Services:Room Service|Basics:Doctor on Call,3 Star hotel,http://ui.cltpstatic.com/places/hotels/1323/1323758/images/bed2_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323758/images/bed_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323758/images/bed3_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323758/images/bed3_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323758/images/liv_area_w.jpg|http://ui.cltpstatic.com/places/hotels/1323/1323758/images/res_w.jpg,12.420465,75.741812,Vista Rooms at Madikeri,Hotel,12 X 11 Sq.ft.,11,Air Conditioning| Television | Telephone | Newspaper Refrigerator Mirror Hangers | Satellite Television | Private Bathroom | Writing Desk / Study Table,Standard Room,Karnataka,,,,1965per night incl. tax,1 Adult 2 Kids,Room Service|Restaurant
BC Estate Kakkabe Post,Kakkabe,Coorg,"Set amidst the tranquil and charming corridors of BC Homes, Coorg, offers a thrilling and lively environment. The calm and soothing views coupled with a dedicated and homely service makes it an enthralling place to stay. Offering a lot of outdoor activities to liven the senses of its guests, this is a must visit place for the adventure seekers. Location:Located around the Thadiyendamol peak in BC Estate, Kakkabe Post, BC Homestay offers a lot of outdoor activities for nature trailers. Whilst it offers thrilling activities like trekking and nature trails, it also offers a lot of tourist spots for guests to experience the splendor of this lovely place. Guests can visit the famous Padi Eshwara Igguthappa Temple (Approx. 3km) from the hotel to offer prayers. Tourist spots like Mallalli Falls, Harangi Dam and Chelavara Falls offers the avid photographers to capture nature in all its bloom. Distance from Mangalore International Airport: Approx. 193kmsDistance from Mangalore Central Railway Station: Approx. 162kmsHotel Features:The hotel offers basic amenities like room service, 24-hour front desk, non-smoking rooms, parking and 24-hour security. Guests can feast on the traditional food prepared everyday at the hotel.Rooms:The hotel offers deluxe rooms to its guests which feature all the required resources for a comfortable stay. All rooms are spacious and feature a balcony to enjoy the beautiful views around. Each room is ensured with all the necessary amenities required for a comfortable stay.",Personal Services:24 Hour Front Desk|Room Service|Travel:Parking|Free Parking|Outdoor Parking|Basics:Non-Smoking Rooms|Adjoining Rooms|Doorman|Housekeeping|Hotel Amenities:24-Hour Security|No Category:Free Newspaper|Front Desk,1 Star hotel,http://ui.cltpstatic.com/places/hotels/7150/715081/images/cover_pic_1_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/141_(1)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/141_(9)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/141_(11)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/141_(21)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/room_1_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/141_(20)_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/dinning_hall_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/din_are_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/in_de_w.jpg|http://ui.cltpstatic.com/places/hotels/7150/715081/images/Bon_fire_w.jpg,12.256411,75.64331800000001,BC Homes,Hotel,12 X 16 Sq.ft.,3,Ceiling Fan| Mirror| Hangers | Windows Open | Private Bathroom | Balcony / Sit Out Area,Deluxe Room,Karnataka,13.0,4.5,Location::4.5|Rooms::5.0|Service::5.0|Value::5.0|Cleanliness::4.5|Sleep Quality::4.5,1107per night incl. tax,1 Adult 2 Kids,Room Service|Internet Access|Free Internet
Daswal Cross Road Near Pvt. Bus Stand Madikeri,Madikeri,Coorg,"Surrounded by the vast greenery and popular tourist attractions of Coorg, Hotel Madikeri Heritage makes for a relaxing destination for every leisure guest. The essential amenities, cosy rooms and calm ambience ensure the guests a memorable stay.",Business Services:LCD / Projector|Audio Visual Equipment|Meeting Room|Business Center|Meeting Facility|Conference Hall|Basics:Internet|Lift|Doorman|Express Check-In|Express Check-Out|Housekeeping|Complimentary Wi-Fi access|Banquet Facility|Doctor on Call|Food &amp; Beverage:Restaurant|Travel:Railway Station Transfer|Taxi Service|Airport Transfer|Transportation Service|Parking|Free Parking|Travel Desk|Personal Services:Dry Cleaning|24 Hour Front Desk|Room Service|Laundry|No Category:Conference facilities|Front Desk|Lift|Hotel Amenities:24-Hour Security|Basic Room Amenities:Wake-Up Call Service,3 Star hotel,http://ui.cltpstatic.com/places/hotels/7091/709170/images/banner1_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/inner_hotel_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/ioioiu_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/banner3_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/com_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/delu_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/uiuiuu_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/banner2_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/inner_dinig_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/banner5_w.jpg|http://ui.cltpstatic.com/places/hotels/7091/709170/images/inner_meeting_events_w.jpg,12.424268,75.738788,Hotel Madikeri Heritage,Hotel,25 X 10 Sq.ft.,35,Television| Internet / Broadband| Telephone | Hot Water | Free Wi-Fi Newspaper Ceiling Fan Flat Screen Television Laundry Bag Satellite Television | Windows Open | Private Bathroom | Luggage Rack,Comfort Room,Karnataka,149.0,3.5,Location::4.0|Rooms::3.5|Service::4.0|Value::3.5|Cleanliness::4.0|Sleep Quality::4.0,1278per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Restaurant
NEAR MANN'S COMPOUND MADIKERI,Madikeri,Coorg,"Avyukta Home Stay, Coorg, offers an expansive layout and homely ambience. Comfortable accommodations replete with fundamental amenities prove to be a perfect destination for people who need to unwind themselves from the busy world.Location:Avyukta Home Stay, Coorg is located near Mann's Compound, Madikeri. Raja's Seat, Coorg (Approx. 1km), a beautiful garden adorned with seasonal flowers and fountains is worth a visit from the homestay. King of Kodagu is known to frequently visit the garden with his queen to watch the splendid sunset. The Omkareshwara Temple (Approx. 1km) is also close by which is carved beautifully in Islamic and Hindu style. Other popular destinations to explore in Coorg include Madikeri Fort, Honnamana Kere and Harangi Dam.Distance from Mangalore International Airport: 169 km (approx.)Distance from Mangalore Central Railway Station: 156 km (approx.) Hotel Features:Avyukta Home Stay provides personalized services and facilities to offer a comfortable stay to the guests. The basic amenities such as room service, 24-hour front desk, parking and 24-hour security are also provided for added convenience. Rooms:Lodging option include standard rooms. Equipped with colour television and other essential amenities, these rooms are high on comfort and convenience.",Personal Services:24 Hour Front Desk|Room Service|Travel:Parking|Free Parking|Hotel Amenities:24-Hour Security|Basics:Doorman|Housekeeping|No Category:Front Desk,1 Star hotel,http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta00_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta02_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta03_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta04_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta05_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta01_w.jpg|http://ui.cltpstatic.com/places/hotels/7155/715587/images/avyukta06_w.jpg,12.424465,75.73814399999999,Avyukta Home Stay,Hotel,14 X 10 Sq.ft.,2,Television | Private Bathroom,Standard Room,Karnataka,,,,2943per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Restaurant
"Madikeri , Coorg",Madikeri,Coorg,"Hotel Chahana Home Stay, Coorg offers all the facilities to ensure a memorable and pleasant experience. The simplicity of the dcor and the warmth of the ambience makes one feel at home. The contemporary hospitality and delectable food makes the stay pleasant and perfect.Location: Hotel Chahana Home Stay is located in Madikeri. Government Musuem (Approx. 1km) and Abbi Falls (Approx. 6km) are close to the hotel. A vivid cascading water body, the Abbi Falls is situated between a private coffee plantations and spice estates. Other places of interest worth visiting are the Dargah Sharif of Yemmemadu, Padi Iggutappa temple and Namdroling Monastery.Distance from Mangalore Railway Station: Approx. 159kmsDistance from Mangalore Airport: Approx. 173kmsHotel Features: This hotel offers guests with ample facilities for comfort and convenience. Essential amenities include 24-hour front desk, 24-hour room service, 24-hour security, travel desk, parking and doctor-on-call. Campfire is also organised on request. Guests can interact with each other and enjoy delectable food in the dining hall. Rooms: The rooms overlooking the lush garden with colourful seasonal flowers provide relaxation. The simplistic decor, essential furnishing and soothing neutral shades ensure comfort for the weary travellers.",Travel:Travel Desk|Parking|Free Parking|Personal Services:24 Hour Front Desk|Room Service|Hotel Amenities:24-Hour Security|Basics:Doorman|Housekeeping|Doctor on Call|No Category:Front Desk,1 Star hotel,http://ui.cltpstatic.com/places/hotels/3291/329124/images/hotel_extieor_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/ddddddddddddddddddddddddd_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/guesroom2_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/Guesorom1_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/ddddddddddddddd_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/bathroom2_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/aaaaaaaaaaa_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/dinging_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/living_room1_w.jpg|http://ui.cltpstatic.com/places/hotels/3291/329124/images/living_room_w.jpg,12.424572,75.738093,Chahana Home Stay,Hotel,12 X 14 Sq.ft.,2,Private Bathroom,1 Bed Room,Karnataka,1.0,4.0,Location::2.0|Rooms::3.0|Service::2.0|Value::5.0|Cleanliness::3.0|Sleep Quality::4.0,3223per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access
Behind KSRTC Bus Stand Madikeri,Madikeri,Coorg,Guests can enjoy a simple and refreshing holiday in the Scotland of India by staying at OYO Homes Behind KSRTC Bus Stand Madikeri Coorg. Explore the hidden charms of Coorg on foot after resting in a comfortable room with cosy ambience.,Basics:Internet|Doorman|Housekeeping|Complimentary Wi-Fi access|24 Hour Power Supply|Personal Services:24 Hour Front Desk|Room Service|Travel:Parking|Hotel Amenities:24-Hour Security,3 Star hotel,http://ui.cltpstatic.com/places/hotels/1349/1349998/images/room4_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/1349998_1_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/rv_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/room_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/room1_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/room.2jpg_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/room3_w.jpg|http://ui.cltpstatic.com/places/hotels/1349/1349998/images/bathroom_w.jpg,12.4241749,75.73792490000001,OYO Homes Behind KSRTC Bus Stand Madikeri Coorg,Hotel,24 X 10 Sq.ft.,15,Television | Wardrobe | Flat Screen Television,Standard Room Non AC,Karnataka,,,,4438per night incl. tax,2 Adults 2 Kids,Room Service|Internet Access|Gym/Spa
